59,돌봄동물병원,,hospital,동물병원,031-217-7570,경기도,수원시,팔달구,우만동 81-7,경기 수원시 팔달구 중부대로 251,"",37.27517836,127.04354950,0.00,0,{전화예약가능},,0,1116984849,,true,2025-11-17 07:36:32.601056,2025-11-13 10:50:13.881287,2025-11-17 07:36:32.601059,41,41110,41115000
60,둘리동물병원,,hospital,동물병원,02-993-0075,서울특별시,도봉구,창동,661-64,서울 도봉구 도봉로 502,"",37.65008383,127.03586250,0.00,0,{전화예약가능},,0,331615749,,true,2025-11-17 07:36:32.601812,2025-11-13 10:50:14.710982,2025-11-17 07:36:32.601814,11,11320,48125150
61,서울탑동물병원,,hospital,동물병원,02-2601-8875,서울특별시,양천구,신정동,1027-2,서울 양천구 신월로 326,"",37.52135291,126.85723914,0.00,0,{전화예약가능},,0,595662687,,true,2025-11-17 07:36:32.602504,2025-11-13 10:50:15.511403,2025-11-17 07:36:32.602507,11,11470,52190109
1201,도그마루 강아지 고양이 양산화명점,,shop,반려동물용품,1566-8713,부산광역시,북구,화명동,1230-1,부산 북구 금곡대로 276,"",35.23302228,129.01375760,0.00,0,{전화예약가능},,0,382375901,,true,2025-11-17 07:36:32.603169,2025-11-13 11:08:22.702169,2025-11-17 07:36:32.603172,26,31200,26320102
65,라파엘동물병원,,hospital,동물병원,02-3444-7507,서울특별시,서초구,반포동,722-29,서울 서초구 강남대로 525-3,"",37.50883751,127.02194197,0.00,0,{전화예약가능},,0,14850859,,true,2025-11-17 07:36:32.604492,2025-11-13 10:50:18.751788,2025-11-17 07:36:32.604494,11,11650,11650107
66,신정동물병원,,hospital,동물병원,02-2697-7576,서울특별시,양천구,신정동,987-3,서울 양천구 오목로 198-1,"",37.52526952,126.85945464,0.00,0,{전화예약가능},,0,16527053,,true,2025-11-17 07:36:32.605126,2025-11-13 10:50:19.553000,2025-11-17 07:36:32.605129,11,11470,52190109
67,포포동물병원,,hospital,동물병원,02-922-7555,서울특별시,성북구,보문동7가,102,서울 성북구 보문로 51,"",37.57997140,127.02197528,0.00,0,{전화예약가능},,0,1188893681,,true,2025-11-17 07:36:32.605817,2025-11-13 10:50:20.380141,2025-11-17 07:36:32.605819,11,11290,11290129
68,중앙동물약품병원,,hospital,동물병원,032-425-3100,인천광역시,미추홀구,주안동,72-11,인천 미추홀구 경인로 417-1,"",37.45829000,126.68657262,0.00,0,{전화예약가능},,0,209239095,,true,2025-11-17 07:36:32.606476,2025-11-13 10:50:21.191596,2025-11-17 07:36:32.606479,28,28177,28177105
69,주주동물종합병원,,hospital,동물병원,02-556-0975,서울특별시,강남구,대치동,898-8,서울 강남구 선릉로 412,"",37.50175403,127.05058617,0.00,0,{전화예약가능},,0,8069777,,true,2025-11-17 07:36:32.607154,2025-11-13 10:50:22.003221,2025-11-17 07:36:32.607157,11,11680,11680106
70,4U동물병원,,hospital,동물병원,031-364-8220,경기도,안산시,단원구,고잔동 772-1,경기 안산시 단원구 광덕대로 142,"",37.30894124,126.83045853,0.00,0,{전화예약가능},,0,22454273,,true,2025-11-17 07:36:32.607973,2025-11-13 10:50:22.814905,2025-11-17 07:36:32.607976,41,41270,41273000
71,이매동물병원,,hospital,동물병원,031-703-7582,경기도,성남시,분당구,이매동 106-3,경기 성남시 분당구 성남대로779번길 17,"",37.39899519,127.12645628,0.00,0,{전화예약가능},,0,1442641295,,true,2025-11-17 07:36:32.608831,2025-11-13 10:50:23.620727,2025-11-17 07:36:32.608834,41,41130,41135000
72,한성동물병원,,hospital,동물병원,02-872-7609,서울특별시,관악구,신림동,409-165,서울 관악구 신림로 265,"",37.47830819,126.93184025,0.00,0,{전화예약가능},,0,8599659,,true,2025-11-17 07:36:32.609695,2025-11-13 10:50:24.451865,2025-11-17 07:36:32.609698,11,11620,11620102
73,늘푸른동물병원,,hospital,동물병원,02-857-7572,서울특별시,관악구,신림동,727-21,서울 관악구 난곡로 223-1,"",37.47422608,126.91693030,0.00,0,{전화예약가능},,0,8209747,,true,2025-11-17 07:36:32.610682,2025-11-13 10:50:25.255214,2025-11-17 07:36:32.610686,11,11620,11620102
74,강남25시동물병원,,hospital,동물병원,02-545-8575,서울특별시,강남구,논현동,90-6,서울 강남구 학동로 235,"",37.51559009,127.03500852,0.00,0,{전화예약가능},,0,7938631,,true,2025-11-17 07:36:32.612183,2025-11-13 10:50:26.057261,2025-11-17 07:36:32.612187,11,11680,28200110
75,아우름동물병원,,hospital,동물병원,02-2138-2977,서울특별시,동작구,사당동,1001-33,서울 동작구 사당로 268,"",37.48363894,126.97742771,0.00,0,{전화예약가능},,0,660409363,,true,2025-11-17 07:36:32.613567,2025-11-13 10:50:26.884756,2025-11-17 07:36:32.613571,11,11590,11590107
76,24시블루밍동물병원,,hospital,동물병원,062-416-7975,광주광역시,북구,운암동,439-1,광주 북구 대자로 36,"",35.17330837,126.87625926,0.00,0,"{24시간,전화예약가능}",,0,915882954,,true,2025-11-17 07:36:32.614625,2025-11-13 10:50:27.718773,2025-11-17 07:36:32.614628,29,31200,29170109
77,한일동물병원,,hospital,동물병원,055-255-7585,경상남도,창원시,마산회원구,양덕동 12-14,경남 창원시 마산회원구 양덕로 170,"",35.23322645,128.58226049,0.00,0,{전화예약가능},,0,10926912,,true,2025-11-17 07:36:32.615555,2025-11-13 10:50:28.548653,2025-11-17 07:36:32.615557,48,48120,48127000
79,다나동물병원,,hospital,동물병원,02-3471-0375,서울특별시,동작구,사당동,1019-54,서울 동작구 동작대로 47,"",37.48091049,126.98148968,0.00,0,{전화예약가능},,0,8188976,,true,2025-11-17 07:36:32.617473,2025-11-13 10:50:30.162129,2025-11-17 07:36:32.617477,11,11590,11590107
80,공원애견동물병원,,hospital,동물병원,031-419-7574,경기도,안산시,상록구,본오동 722-1,경기 안산시 상록구 오목로 78,"",37.29001090,126.86670951,0.00,0,{전화예약가능},,0,14623925,,true,2025-11-17 07:36:32.618421,2025-11-13 10:50:30.966884,2025-11-17 07:36:32.618423,41,41270,41271000
64,24시글로리동물병원,,hospital,동물병원,02-855-8575,서울특별시,금천구,독산동,145-13,서울 금천구 시흥대로 483,"",37.47672890,126.89825545,0.00,0,"{24시간,전화예약가능}",,0,1458016012,,true,2025-11-17 07:36:32.619293,2025-11-13 10:50:17.952325,2025-11-17 07:36:32.619295,11,11545,11545102
106,피카소동물병원,,hospital,동물병원,02-467-3673,서울특별시,광진구,화양동,216,서울 광진구 광나루로 392-1,"",37.54731120,127.07330573,0.00,0,{전화예약가능},,0,10021908,,true,2025-11-17 07:36:32.641152,2025-11-13 10:50:52.268114,2025-11-17 07:36:32.641155,11,11215,11215107
89,우신종합동물병원,,hospital,동물병원,02-2693-8883,서울특별시,양천구,신월동,501-12,서울 양천구 중앙로 295,"",37.52256028,126.85141437,0.00,0,{전화예약가능},,0,9895289,,true,2025-11-17 07:36:32.642181,2025-11-13 10:50:38.297327,2025-11-17 07:36:32.642184,11,11470,52210124
92,영도동물병원,,hospital,동물병원,"",부산광역시,영도구,영선동1가,20-4,부산 영도구 태종로 111,"",35.09111697,129.04304109,0.00,0,{},,0,12350856,,true,2025-11-17 07:36:32.643163,2025-11-13 10:50:40.726528,2025-11-17 07:36:32.643166,26,26200,26200108
99,박영재동물병원,,hospital,동물병원,063-284-7774,전북특별자치도,전주시,완산구,서서학동 942-8,전북특별자치도 전주시 완산구 전주천서로 111,"",35.81009512,127.14918445,0.00,0,{전화예약가능},,0,27004461,,true,2025-11-17 07:36:32.644024,2025-11-13 10:50:46.501787,2025-11-17 07:36:32.644027,52,52110,52111000
103,가나동물병원,,hospital,동물병원,041-534-7582,충청남도,아산시,온천동,80-5,충남 아산시 온천대로 1525,"",36.78094119,127.00734879,0.00,0,{전화예약가능},,0,8630719,,true,2025-11-17 07:36:32.644829,2025-11-13 10:50:49.777278,2025-11-17 07:36:32.644832,44,44200,44200101
82,소망애견종합병원,,hospital,동물병원,051-628-8211,부산광역시,수영구,남천동,47-1,부산 수영구 수영로 485,"",35.14918143,129.11055876,0.00,0,{전화예약가능},,0,1549195172,,true,2025-11-17 07:36:32.621244,2025-11-13 10:50:32.577211,2025-11-17 07:36:32.621247,26,26500,43150104
83,현대애견동물병원,,hospital,동물병원,031-541-9489,경기도,포천시,소흘읍,송우리 728-4,경기 포천시 소흘읍 송우로 87,"",37.83024744,127.13945433,0.00,0,{전화예약가능},,0,875590581,,true,2025-11-17 07:36:32.622230,2025-11-13 10:50:33.408043,2025-11-17 07:36:32.622233,41,41650,41650250
84,닥터제이동물병원애견샵,,hospital,동물병원,051-553-0028,부산광역시,동래구,온천동,1430-3,부산 동래구 충렬대로107번길 6,"",35.20695652,129.07272120,0.00,0,{전화예약가능},,0,10717357,,true,2025-11-17 07:36:32.623204,2025-11-13 10:50:34.216348,2025-11-17 07:36:32.623207,26,26260,44200101
85,참좋은동물병원 애견미용실,,hospital,동물병원,055-264-7507,경상남도,창원시,성산구,중앙동 86-5,경남 창원시 성산구 용지로121번길 1,"",35.22633756,128.67883997,0.00,0,{전화예약가능},,0,13584133,,true,2025-11-17 07:36:32.624001,2025-11-13 10:50:35.036332,2025-11-17 07:36:32.624003,48,48120,48123000
86,마루동물병원부설 애견텔로미어연구소,,hospital,동물병원,"",서울특별시,송파구,거여동,290-3,서울 송파구 양산로4길 13,"",37.48999464,127.14474102,0.00,0,{},,0,964158265,,true,2025-11-17 07:36:32.626002,2025-11-13 10:50:35.837934,2025-11-17 07:36:32.626006,11,11710,11710113
87,가야동물병원,,hospital,동물병원,051-894-7559,부산광역시,부산진구,개금동,186-22,부산 부산진구 가야대로 491,"",35.15343547,129.02582663,0.00,0,{전화예약가능},,0,16238032,,true,2025-11-17 07:36:32.626963,2025-11-13 10:50:36.654954,2025-11-17 07:36:32.626966,26,26230,26230111
88,사하동물병원,,hospital,동물병원,051-206-1891,부산광역시,사하구,당리동,373-4,부산 사하구 낙동대로 356,"",35.10154686,128.97886325,0.00,0,{전화예약가능},,0,26892432,,true,2025-11-17 07:36:32.627870,2025-11-13 10:50:37.479756,2025-11-17 07:36:32.627874,26,26380,26380102
90,수호천사동물병원,,hospital,동물병원,031-451-7582,경기도,안양시,만안구,안양동 693-12,경기 안양시 만안구 박달로 551,"",37.40282752,126.91398004,0.00,0,{전화예약가능},,0,16167459,,true,2025-11-17 07:36:32.628720,2025-11-13 10:50:39.104761,2025-11-17 07:36:32.628722,41,41170,41171000
91,이창훈동물병원,,hospital,동물병원,031-917-2300,경기도,고양시,일산동구,정발산동 1180-3,경기 고양시 일산동구 무궁화로141번길 7-9,"",37.66944396,126.77640201,0.00,0,{전화예약가능},,0,8528978,,true,2025-11-17 07:36:32.629558,2025-11-13 10:50:39.928780,2025-11-17 07:36:32.629560,41,41280,41285000
93,윤신근박사동물병원,,hospital,동물병원,02-2272-1234,서울특별시,중구,필동2가,53,서울 중구 퇴계로 226,"",37.56163815,126.99686257,0.00,0,{전화예약가능},,0,9322160,,true,2025-11-17 07:36:32.631029,2025-11-13 10:50:41.536876,2025-11-17 07:36:32.631032,11,31110,11140138
